Country,Country_label,dst,Share_of_transitions,src
IND,India,Data Analyst,0.02,Big Data Developer
IND,India,Artificial Intelligence Engineer,0.01,Big Data Developer
IND,India,Vice President of Analytics,0.01,Analytics Consultant
IND,India,Quantitative Analyst,0,Analytics Consultant
IND,India,Manager of Artificial Intelligence,0,Analytics Consultant
IND,India,Machine Learning Expert,0.01,Analytics Consultant
IND,India,Director of Analytics,0.01,Analytics Consultant
IND,India,Data Specialist,0.02,Analytics Consultant
IND,India,Data Scientist,0.17,Analytics Consultant
IND,India,Data Engineer,0.07,Analytics Consultant
IND,India,Data Consultant,0.03,Analytics Consultant
IND,India,Data Architect,0.01,Analytics Consultant
IND,India,Data Analyst,0.13,Analytics Consultant
IND,India,Business Intelligence Specialist,0.01,Analytics Consultant
IND,India,Artificial Intelligence Consultant,0.01,Analytics Consultant
IND,India,Analytics Specialist,0.05,Analytics Consultant
IND,India,Analytics Manager,0.15,Analytics Consultant
IND,India,Analytics Analyst,0.02,Analytics Consultant
IND,India,Vice President of Analytics,0.01,Data Associate
IND,India,Machine Learning Expert,0.02,Data Associate
IND,India,Data Specialist,0.07,Data Associate
IND,India,Data Scientist,0.12,Data Associate
IND,India,Data Engineer,0.05,Data Associate
IND,India,Data Consultant,0.05,Data Associate
IND,India,Data Annotator,0.02,Data Associate
IND,India,Data Analyst,0.32,Data Associate
IND,India,Artificial Intelligence Engineer,0.01,Data Associate
IND,India,Analytics Specialist,0.01,Data Associate
IND,India,Analytics Consultant,0.01,Data Associate
IND,India,Analytics Analyst,0,Data Associate
IND,India,Vice President of Analytics,0.06,Analytics Manager
IND,India,Other,0.03,Analytics Manager
IND,India,Manager of Artificial Intelligence,0.01,Analytics Manager
IND,India,Machine Learning Expert,0,Analytics Manager
IND,India,Director of Analytics,0.09,Analytics Manager
IND,India,Data Specialist,0.02,Analytics Manager
IND,India,Data Scientist,0.19,Analytics Manager
IND,India,Data Engineer,0.03,Analytics Manager
IND,India,Data Consultant,0.01,Analytics Manager
IND,India,Data Architect,0.01,Analytics Manager
IND,India,Data Analyst,0.06,Analytics Manager
IND,India,Business Intelligence Specialist,0.01,Analytics Manager
IND,India,Analytics Specialist,0.06,Analytics Manager
IND,India,Analytics Consultant,0.04,Analytics Manager
IND,India,Machine Learning Expert,0.02,Data Consultant
IND,India,Data Specialist,0.01,Data Consultant
IND,India,Data Scientist,0.32,Data Consultant
IND,India,Data Engineer,0.07,Data Consultant
IND,India,Data Associate,0.01,Data Consultant
IND,India,Data Architect,0.01,Data Consultant
IND,India,Data Analyst,0.07,Data Consultant
IND,India,Artificial Intelligence Engineer,0.01,Data Consultant
IND,India,Artificial Intelligence Consultant,0.01,Data Consultant
IND,India,Analytics Specialist,0.01,Data Consultant
IND,India,Analytics Manager,0.02,Data Consultant
IND,India,Analytics Consultant,0.01,Data Consultant
IND,India,Vice President of Analytics,0.01,Analytics Specialist
IND,India,Quantitative Analyst,0,Analytics Specialist
IND,India,Other,0.01,Analytics Specialist
IND,India,Director of Analytics,0.01,Analytics Specialist
IND,India,Data Specialist,0.04,Analytics Specialist
IND,India,Data Scientist,0.12,Analytics Specialist
IND,India,Data Engineer,0.04,Analytics Specialist
IND,India,Data Associate,0.01,Analytics Specialist
IND,India,Data Analyst,0.15,Analytics Specialist
IND,India,Business Intelligence Specialist,0.01,Analytics Specialist
IND,India,Artificial Intelligence Engineer,0.01,Analytics Specialist
IND,India,Analytics Manager,0.1,Analytics Specialist
IND,India,Analytics Consultant,0.04,Analytics Specialist
IND,India,Analytics Analyst,0.01,Analytics Specialist
IND,India,Quantitative Analyst,0.01,Analytics Analyst
IND,India,Data Specialist,0.01,Analytics Analyst
IND,India,Data Scientist,0.04,Analytics Analyst
IND,India,Data Engineer,0.02,Analytics Analyst
IND,India,Data Consultant,0.01,Analytics Analyst
IND,India,Data Associate,0.01,Analytics Analyst
IND,India,Data Analyst,0.06,Analytics Analyst
IND,India,Analytics Specialist,0.02,Analytics Analyst
IND,India,Analytics Manager,0.03,Analytics Analyst
IND,India,Analytics Consultant,0.03,Analytics Analyst
IND,India,Data Scientist,0.02,Business Intelligence Specialist
IND,India,Data Engineer,0.1,Business Intelligence Specialist
IND,India,Data Analyst,0.05,Business Intelligence Specialist
IND,India,Analytics Specialist,0.01,Business Intelligence Specialist
IND,India,Analytics Manager,0.01,Business Intelligence Specialist
IND,India,Analytics Consultant,0.01,Business Intelligence Specialist
IND,India,Python Developer,0.01,Robotics Specialist
IND,India,Other,0.12,Robotics Specialist
IND,India,Machine Learning Expert,0.01,Robotics Specialist
IND,India,Data Scientist,0.01,Robotics Specialist
IND,India,Data Engineer,0.01,Robotics Specialist
IND,India,Data Analyst,0.02,Robotics Specialist
IND,India,Artificial Intelligence Engineer,0.02,Robotics Specialist
IND,India,Other,0.02,Computer Vision Engineer
IND,India,Machine Learning Expert,0.06,Computer Vision Engineer
IND,India,Data Scientist,0.04,Computer Vision Engineer
IND,India,Data Analyst,0,Computer Vision Engineer
IND,India,Artificial Intelligence Engineer,0.05,Computer Vision Engineer
IND,India,Other,0,Research Engineer
IND,India,Machine Learning Expert,0.04,Research Engineer
IND,India,Data Scientist,0.06,Research Engineer
IND,India,Data Engineer,0.01,Research Engineer
IND,India,Data Analyst,0,Research Engineer
IND,India,Artificial Intelligence Engineer,0.02,Research Engineer
IND,India,Applied Scientist,0.01,Research Engineer
IND,India,Python Developer,0.1,Django Developer
IND,India,Other,0.01,Deep Learning Specialist
IND,India,Machine Learning Expert,0.03,Deep Learning Specialist
IND,India,Data Scientist,0.04,Deep Learning Specialist
IND,India,Data Engineer,0.01,Django Developer
IND,India,Data Analyst,0.01,Django Developer
IND,India,Data Analyst,0,Deep Learning Specialist
IND,India,Artificial Intelligence Engineer,0.04,Deep Learning Specialist
IND,India,Vice President of Analytics,0.01,Quantitative Analyst
IND,India,Other,0.06,Quantitative Analyst
IND,India,Data Specialist,0.03,Data Architect
IND,India,Data Scientist,0.02,Quantitative Analyst
IND,India,Data Scientist,0.01,Data Architect
IND,India,Data Engineer,0.07,Data Architect
IND,India,Data Analyst,0.02,Quantitative Analyst
IND,India,Data Analyst,0.01,Data Architect
IND,India,Analytics Specialist,0.01,Quantitative Analyst
IND,India,Other,0.01,Data Annotator
IND,India,Data Specialist,0.02,Data Annotator
IND,India,Data Engineer,0.01,Data Annotator
IND,India,Data Associate,0.01,Data Annotator
IND,India,Data Analyst,0.06,Data Annotator
IND,India,Machine Learning Expert,0.02,Artificial Intelligence Researcher
IND,India,Data Scientist,0.05,Artificial Intelligence Researcher
IND,India,Data Engineer,0,Artificial Intelligence Researcher
IND,India,Artificial Intelligence Engineer,0.03,Artificial Intelligence Researcher
